hillnumber, hillname, region, parent, classification, metres, gridref, drop, latitude, longitude,W,WO,easting,northing
2581,Wasdale Pike,34C,2559,"WO,B,Sy",565,NY536084,5,54.469706,-2.716868,0,1,353637,508497
2582,Brock Crags (Wainwright),34C,2528,"W,B,Sy,Fel",561.2,NY416136,9.9,54.514891,-2.902593,1,0,341665,513663
2583,Great Mell Fell,34C,,"Ma,5,Dew,W, B,Sy,Fel",537,NY396253,198,54.619846,-2.935641,1,0,339681,525369
2584,Arthur's Pike,34C,2528,"W,B,Sy,Fel",533,NY460206,4,54.578426,-2.835799,1,0,346073,520679
2585,High Wether Howe,34C,2559,"5,Dew,WO,B, Sy",531,NY514109,66,54.491324,-2.750299,0,1,351496,510925
2586,White Howe (Bannisdale),34C,2559,"5,Dew,WO,B, Sy",530,NY523041,73,54.430964,-2.735831,0,1,352363,504198
2587,Lord's Seat (Crookdale) [Lord's Seat - High House Fell],34C,2559,"5,Dew,WO,B, Sy",524,NY518066,36,54.452626,-2.744224,0,1,351844,506614
2588,Bonscale Pike,34C,2528,"W,B,Sy,Fel",524,NY453200,1,54.573028,-2.846935,1,0,345346,520087
2589,High Hartsop Dodd,34C,2521,"W,B,Sy,Fel",519,NY393107,3,54.488614,-2.93769,1,0,339354,510769
2590,Sallows,34C,2528,"5,Dew,W,B, Sy,Fel",516,NY436039,69,54.428122,-2.869995,1,0,343656,503981
2591,Little Yarlside,34C,2559,"WO,B,Sy",518,NY530071,11,54.457704,-2.724988,0,1,353097,507166
2592,Seat Robert,34C,2559,"5,Dew,WO,B, Sy",515,NY526114,30,54.495755,-2.732702,0,1,352641,511406
2593,Capplebarrow,34C,2559,"s5,WO,B,Sy",513,NY508035,22,54.424929,-2.759814,0,1,350800,503543
2594,Fewling Stones,34C,2559,"WO,Sy",509,NY513117,12,54.498962,-2.753358,0,1,351307,511777
2595,Beda Fell [Beda Head],34C,2528,"5,Dew,W,B, Sy,Fel",509,NY428171,61,54.54649,-2.884399,1,0,342887,517164
2596,Low Pike,34C,2521,"W,B,Sy,Fel",508,NY373078,18,54.462069,-2.967985,1,0,337351,507842
2597,Sleddale Pike,34C,2559,"WO,B,Sy",506,NY535094,6,54.478055,-2.718418,0,1,353546,509427
2598,Little Mell Fell,34C,,"Ma,5,Dew,W, B,Sy,Fel",505,NY423240,226,54.608024,-2.894465,1,0,342323,524019
2599,Hare Shaw,34C,2528,"WO,B,Sy",503,NY497131,13,54.511158,-2.777492,0,1,349759,513151
2600,Ulthwaite Rigg,34C,2559,"WO,B,Sy",502,NY514093,2,54.477033,-2.750562,0,1,351462,509335
2601,Stone Arthur,34C,2521,"W,B,Sy,Fel",504,NY347092,3,54.474276,-3.008366,1,0,334753,509237
2602,High House Bank,34C,2559,"4,WO,B,Sy",495,NY543048,80,54.436904,-2.705888,0,1,354312,504839
